PAYER_ID,PAYER_NAME,OWNERSHIP,CONTRACT_ID,PAYER_PLAN_ID_RAW,PAYER_SEGMENT_ID_RAW,PLAN_ID_STD,SEGMENT_ID_STD,PI_PLAN_ID_RAW,PI_SEGMENT_ID_RAW,FORMULARY_ID,CONTRACT_NAME,PLAN_NAME,STATE,COUNTY_CODE,PREMIUM,DEDUCTIBLE,SNP,PLAN_SUPPRESSED_YN
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11000,0.00,450.00,1,N
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11010,0.00,450.00,1,N
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11011,0.00,450.00,1,N
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11020,0.00,450.00,1,N
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11030,0.00,450.00,1,N
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11040,0.00,450.00,1,N
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11050,0.00,450.00,1,N
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11060,0.00,450.00,1,N
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11070,0.00,450.00,1,N
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,H5216,246,000,246,000,246,000,00025458,HUMANA INSURANCE COMPANY,HumanaChoice - Diabetes and Heart (PPO C-SNP),GA,11080,0.00,450.00,1,N
